fileid,mentid,lemma,fp,wh_context,chain,comment
004_-2,u-MENTION-jmuzerelle_1354095062619,quel,,q,pta:q,
004_-4,u-MENTION-jmuzerelle_1354550701704,quel,,q,sta,
005_C-1,u-MENTION-jmuzerelle_1358774680905,quel,,q,sta,prop
005_C-1,u-MENTION-jmuzerelle_1358775391611,quel,,verb:voir,0,
005_C-2,u-MENTION-jmuzerelle_1358870717456,quel,,q,dta:qg,
005_C-3,u-MENTION-jmuzerelle_1358938499216,quel,,q,pta:unsure;dta:ign;cest;pta:modverb,
005_C-3,u-MENTION-jmuzerelle_1358957301656,qui,,q,sta,
005_C-3,u-MENTION-jmuzerelle_1358962000871,quel,,q,nonspec;sta,
005_C-3,u-MENTION-jmuzerelle_1358963016590,qui,,q,pta:q;pta:modverb;pta:modadv,
005_C-3,u-MENTION-jmuzerelle_1359017018892,quel,,q,sta,prop
006_C-1,u-MENTION-sduchon_1338047297148,quel,,q,0,
006_C-2,u-MENTION-jmuzerelle_1327485579488,quel,,q,cest;sta,
006_C-3,u-MENTION-jmuzerelle_1353493490566,qui,,q,sta,
006_C-3,u-MENTION-jmuzerelle_1353494102881,quel,,q,ms,
006_C-3,u-MENTION-jmuzerelle_1353495074382,quel,,q,sta,
006_C-3,u-MENTION-jmuzerelle_1353504673420,qui,,q,sta,
006_C-3,u-MENTION-jmuzerelle_1353504695246,qui,,rep,,
007_C-1,u-MENTION-gpascault_1354638566522,quel,,q,sta,
007_C-1,u-MENTION-gpascault_1354648025427,quel,,q,sta,
007_C-2,u-MENTION-gpascault_1357918070518,quel,,q,0,prop;null;presuppneg
007_C-2,u-MENTION-gpascault_1359459944585,quel,,verb:savoir,0,
007_C-2,u-MENTION-gpascault_1359643255435,quel,,quoted,,
007_C-3,u-MENTION-gpascault_1359363744149,quel,,q,sta,
008_C-1,u-MENTION-gpascault_1360328501177,quel,,q,0,mismatch
008_C-1,u-MENTION-jmuzerelle_1372688107756,quel,,q,0,prop;qreading
008_C-3,u-MENTION-jmuzerelle_1366031668441,quel,,q,sta,
009_C-1,u-MENTION-jmuzerelle_1364219605139,quel,,q,pta:unsure;ms,prop
009_C-2,u-MENTION-jmuzerelle_1364304565075,quel,,q,0,
009_C-3,u-MENTION-jmuzerelle_1364377750687,quel,,q,sta,prop
009_C-4,u-MENTION-jmuzerelle_1364459866456,quel,,q,sta,prop
009_C-4,u-MENTION-jmuzerelle_1364462475750,qui,,q,pta:neg,negociation
009_C-4,u-MENTION-jmuzerelle_1364484155842,quel,,q,dta;ms,
010_C-1,u-MENTION-jmuzerelle_1354626786815,quel,,q,0,
010_C-1,u-MENTION-jmuzerelle_1354626827418,quel,,q,cta,prop
010_C-2,u-MENTION-jmuzerelle_1354785303842,quel,excl,,,
010_C-3,u-MENTION-jmuzerelle_1373288938359,qui,,q,sta:gq;cta,
010_C-4,u-MENTION-jmuzerelle_1355308989994,quel,,q,pta:q,
012_C-3,u-MENTION-jmuzerelle_1361896825344,qui,,q,sta:gq,
012_C-3,u-MENTION-jmuzerelle_1361958477246,quoi,,q,pta:q,
012_C-3,u-MENTION-jmuzerelle_1361961089165,qui,,q,plta,
012_C-3,u-MENTION-jmuzerelle_1361962543182,quel,,q,sta,qreading;prop
012_C-3,u-MENTION-jmuzerelle_1361971976364,qui,,q,pta:modatt,
013_C-1,u-MENTION-jmuzerelle_1366968629884,quel,,q,0,
013_C-1,u-MENTION-jmuzerelle_1366968783745,quel,,q,ms,prop
013_C-2,u-MENTION-jmuzerelle_1367156979499,qui,,q,cest;sta,
013_C-3,u-MENTION-jmuzerelle_1367236926936,quel,,hedge,pta:unsure,prop
013_C-3,u-MENTION-jmuzerelle_1367243713146,quel,,q,sta,
014_C-1,u-MENTION-jmuzerelle_1350293058454,quel,,verb:savoir,sta,
014_C-5,u-MENTION-jmuzerelle_1351068100915,quel,,q,0,
014_C-5,u-MENTION-jmuzerelle_1351069535512,où,rel,,,
014_C-5,u-MENTION-jmuzerelle_1351071903230,quel,,q,0,
015_C-1,u-MENTION-jmuzerelle_1367850333310,quel,,q,0,
015_C-2,u-MENTION-jmuzerelle_1368002798472,quel,,q,0,
015_C-2,u-MENTION-jmuzerelle_1368019923195,quel,excl,,,
015_C-2,u-MENTION-jmuzerelle_1368021419646,quel,,q,sta,prop
015_C-2,u-MENTION-jmuzerelle_1368024188534,qui,,q,sta:gq,rep
018_C-1,u-MENTION-jmuzerelle_1366099533648,quel,,verb:dépendre,0,rep
018_C-2,u-MENTION-jmuzerelle_1366288596216,quel,,rep,,
018_C-2,u-MENTION-jmuzerelle_1366293464097,que,rel,,,
018_C-2,u-MENTION-jmuzerelle_1366371505186,quel,,q,ms,negociation;gran
019_C-3,u-MENTION-jmuzerelle_1365684417323,quel,,q,0,
020_C-1,u-MENTION-jmuzerelle_1360658662637,quel,,q,sta,qreading;prop
020_C-3,u-MENTION-jmuzerelle_1360919008916,qui,,q,sta,genmod
020_C-3,u-MENTION-jmuzerelle_1360925544840,quel,,q,ms,parexemple;prop
020_C-3,u-MENTION-jmuzerelle_1360934950591,qui,,q,pta:q;cest;sta,
020_C-3,u-MENTION-jmuzerelle_1360935208662,qui,,q,pta:q;cest;sta,
020_C-3,u-MENTION-jmuzerelle_1360938595202,qui,,q,0,null;presuppneg
020_C-3,u-MENTION-jmuzerelle_1360939111675,qui,,q,pta:q;cest;sta,genmod
021_C-4,u-MENTION-jmuzerelle_1356013028785,quel,,verb:décider,0,
021_C-5,u-MENTION-jmuzerelle_1375868498741,qui,,q,sta:gq,
021_C-6,u-MENTION-jmuzerelle_1356686329712,quel,,hedge,sta,
021_C-6,u-MENTION-jmuzerelle_1356687186278,quoi,,q,0,
021_C-6,u-MENTION-jmuzerelle_1356690756988,qui,,q,sta;cest,
023_C,u-MENTION-agoudjo_1335792138546,qui,,q,cest;sta,
023_C,u-MENTION-jmuzerelle_1376335757208,qui,,q,pta:q;sta;cest,
023_C,u-MENTION-jmuzerelle_1376339306430,quoi,,q,cest;sta,
024_C-3,u-MENTION-agoudjo_1337678734037,quel,,q,0,
024_C-4,u-MENTION-agoudjo_1337782487036,quel,,verb:rappeler,0,
024_C-4,u-MENTION-agoudjo_1337840224834,quel,,q,ms,
025_C-1,u-MENTION-agoudjo_1337874904500,quel,,q,0,qreading
025_C-3,u-MENTION-agoudjo_1341302787311,quel,,q,sta,prop
025_C-3,u-MENTION-agoudjo_1341312962914,quel,,q,0,
025_C-3,u-MENTION-agoudjo_1343124127587,quel,,q,dta;irr;ms;gq,
026_C-2,u-MENTION-jmuzerelle_1357220503549,quel,,q,sta,qreading;prop
