fileid,wordid,lemma,fp,wh_context,chain,comment,
004_-1,s6.u5.w66,où,nimporte,,,,
004_-1,s12.u0.w11,quel,,q,0,,
004_-1,s15.u7.w33,quel,,verb:savoir,0,,
004_-1,s16.u0.w13,quel,,hedge,sta,,
004_-2,s2.u1.w62,où,rsa,,,,
004_-2,s4.u7.w74,où,rel,,,,
004_-4,s1.u0.w3,quel,,q,0,,
004_-4,s13.u3.w18,qui,,q,sta,,
004_-4,s23.u15.w1,quel,,q,0,degree,
005_C-1,s10.u1.w67,quoi,disc,,,,
005_C-1,s17.u10.w4,où,rel,,,,
005_C-2,s4.u14.w2,où,,q,plta,,
005_C-2,s4.u14.w6,où,,rep,,,
005_C-2,s10.u0.w3,quel,,q,pta:modadv,,
005_C-3,s1.u4.w5,quoi,,q,sta,prop,
005_C-3,s22.u0.w16,quel,,q,0,prop,
005_C-3,s22.u0.w21,quel,,rep,,,
006_C-1,s4.u6.w5,où,,hedge,sta,,
006_C-1,s16.u6.w3,quoi,,q,ms,,
006_C-2,s1.u2.w11,qui,ceque,,,,
006_C-2,s8.u0.w1,quel,,q,0,prop,
006_C-3,s22.u10.w5,quel,,q,sta,,
007_C-1,s5.u7.w1,où,rsa,,,,
007_C-1,s12.u1.w111,quel,excl,,,,
007_C-2,s12.u7.w4,quel,,verb:dépendre,pta:cond,prop,
007_C-2,s12.u7.w23,quel,excl,,,,
007_C-3,s8.u0.w4,quel,,q,0,negociation,
008_C-1,s23.u2.w3,quoi,,q,ms,prop,
008_C-2,s4.u0.w0,quel,,q,sta,,
008_C-2,s7.u3.w2,quoi,,quoted,,,
008_C-2,s7.u3.w8,quoi,,quoted,,,
008_C-3,s3.u0.w3,quel,,q,ms,parexemple,
008_C-3,s4.u7.w5,quoi,disc,,,,
009_C-4,s1.u16.w42,quel,,q,0,,
010_C-1,s6.u0.w18,quel,,q,pta:q,,
010_C-1,s7.u44.w2,quel,,q,sta,,
010_C-1,s7.u67.w80,où,,q,spec:dem,,
010_C-1,s9.u0.w8,quel,,cond,sta,,
010_C-2,s2.u18.w1,quel,,q,cta,,
010_C-2,s6.u23.w10,quoi,,q,0,,
010_C-3,s1.u49.w24,où,rel,,,,
010_C-3,s2.u68.w6,quel,,q,cest,sta,
010_C-3,s9.u0.w5,quel,,q,pta:q,sta,
010_C-3,s9.u23.w13,quel,,q,pta:unsure,,
010_C-4,s8.u0.w12,quel,,q,sta,,
010_C-4,s14.u0.w10,qui,,q,pta:q,cest,sta
010_C-4,s14.u6.w1,qui,,q,sta,,
010_C-4,s14.u13.w17,qui,,q,"pta:q,cest;sta",,
010_C-5,s13.u6.w3,quel,,q,dta:irr,,
010_C-5,s18.u6.w1,quel,,q,ms,,
